일자,시간,장소,대상,계,내역,집행방법,
2020-01-09,명가낙지촌,5,62000,시 웹사이트 전면개편 추진 관계직원 격려를 위한 간담,카드,,
2020-01-08,강화인삼협동조합,70,1470000,"시책사업 협력 증진 내방객, 주요행사 참석 인사, 타기관 방문에 따른 기념품 구입",카드,,
2020-01-11,우정일식당,5,76000,천주교 인천교구 행사 후 관계직원과 오찬 간담,카드,,
2020-01-13,포항집,10,190000,국제협력 관계증진 및 시책사업 등으로 노고가 많은 관계직원 격려를 위한 간담,카드,,
2020-01-14,생선구이구이,12,169000,2020년도 상반기 인사발령에 따른 총무과 전입직원과 오찬 간담,카드,,
2020-01-14,주원일식,3,56000,해수친수공간 조성 업무 관계자와 간담,카드,,
2020-01-14,우성꽃화원,,925000,12월중 관내지역 상근직원 등 경조사 시 설치하는 근조기 및 축기 설치 비용,카드,,
2020-01-15,화룽,15,491000,쾌적한 청사 및 인천애뜰 관리 등으로 노고가 많은 관계직원 격려 간담,카드,,
2020-01-16,송쭈집,,200000,2019년도 4분기 협업포인트 우수부서 격려위한 간식 구입,카드,,
2020-01-16,고메돈까스,28,242200,신규공무원과 조직적응과 직무수행 능력 향상을 위한 멘토-멘티와의 간담,카드,,
2020-01-16,대복,25,490000,각종 집회 및 시위 등으로 노고가 많은 관계직원 격려를 위한 간담,카드,,
2020-01-17,용인정,3,53000,지하차도 설치 공사 착공식 행사 관계 직원 격려를 위한 간담,카드,,
2020-01-17,운영차량기지 외 3개소,,2000000,2020. 설맞이 시민생활현장 방문에 따른 격려금 지출,현금,,
2020-01-20,농협은행,41,4100000,설 명절 맞이 병가 및 질병휴직자 격려위한 물품 구입 비용,카드,,
2020-01-20,서미유통,12,4400000,화재진압 등으로 노고가 많은 소방서 직원 격려를 위한 물품 구입,카드,,
2020-01-21,코차인터내셔널,,2625000,설맞이 격무부서 및 현업부서 직원 격려를 위한 간담,카드,,
2020-01-21,만나식당,7,150000,노후 시설개선 등 현안사항 추진을 위한 관계자 격려 간담,카드,,
2020-01-21,경복궁,6,135000,신종 코로나바이러스  확산 방지를 위한 비상대응 상황실 근무자 격려,카드,,
2020-01-21,인천의료원,,500000,설맞이 시민생활현장 방문에 따른 현업직원 격려하기 위한 격려금 지급,현금,,
2020-01-21,송도갈매기,20,439000,설 명절 맞이 시민 생활현장에 따른 현업부서 직원 격려 간담,카드,,
2020-01-22,시옌,44,1619000,2020년도 상반기 정기인사에 따른 시정운영 당부 등을 위한 실국장과 간담,카드,,
2020-01-23,서동청국장,9,115000,공무원 성과평가 업무 개선방안 협의를 위한 관계직원과 오찬 간담,카드,,
2020-01-24,인천여객터미널 운항관리센터,,300000,설명절 도서지역 귀성객의 안전한 수송을 위해 근무하는 관계직원 격려금 지급,현금,,
2020-01-28,정인숙 외 3명,4,200000,인천시 상근직원 경조사 비용(정인숙 외 3명),현금,,
2020-01-28,대한적십자사,,5000000,2020년 적십자 특별회비 납부,카드,,
2020-01-29,공무원노동조합,,300000,신종 코로나바이러스 관련 재난안전대책본부 상황실 근무자 격려위한 음료 등 구입,카드,,
2020-01-29,보건환경연구원,,500000,신종 코로나바이러스 감염 대응에 따른 관계기관 격려를 위한 격려금 지급,현금,,
2020-01-30,원조석산민물고기,7,197000,스마트시티 챌린지 공모사업 추진 관계자와 간담,카드,,
2020-01-31,인천시청(구내식당),12,140000,구내식당 현업근무자 격려를 위한 오찬 간담,카드,,
,,,,,,,
2020-01-07,신성루,7,200000,중구지역 현안청취를 위한 지역 구의원과 간담,카드,,
2020-01-08,옛정,6,100000,지하도상가 현안문제 협의를 위한 시의원 및 관계자와 오찬 간담,카드,,
2020-01-08,취홍,5,108000,시내버스노선 개편 등 시정현안사항 논의를 위한 인천연구원 관계자와 간담,카드,,
2020-01-09,취홍,22,580000,인천시정에 대한 의견공유 등 소통을 위한 수습사무관과 오찬 간담,카드,,
2020-01-13,옛정,6,78000,체육회 발전방안 논의를 위한 체육회 관계자 및 관계직원과 오찬 간담,카드,,
2020-01-14,옛정,12,315000,시정홍보 협력체계 구축을 위한 지방 일간지 관계자와 간담,카드,,
2020-01-14,신화푸드긴자,4,90000,인천아트센터 활성화 방안 협의를 위한 관계자와 간담,카드,,
2020-01-15,한무컨벤션,10,300000,시민 문화서비스 제공 확대방안 협의를 위한 관계자와 간담,카드,,
2020-01-16,명가,9,300000,시정홍보 및 현안사항 논의를 위한 기자단과 간담,카드,,
2020-01-17,팔진향,9,268000,시-선양시 간 우호협력 활성화 방안 토의를 위한 간담,카드,,
2020-01-20,경북궁,11,420000,인천건설인협회 신년회 관련 연합회 발전방안 논의를 위한 관계자와 간담,카드,,
2020-01-21,조림조림,3,43000,부평~장고개간 도로개설공사 개통식 관계자와 간담,카드,,
2020-01-21,도미노피자,,183500,2019 지방자치단체 혁신평가 추진과 관련 관계부서 격려를 위한 간식 구입,카드,,
2020-01-21,한옥마을 한양,22,352000,인천광역시 지역혁신협의회 워크숍 참석과 관련 관계자와 오찬 간담,카드,,
2020-01-22,노틀담베이커리,6,50000,설명절 시민생활현장 방문관련 노틀담복지관 시설 관계자와 차담,카드,,
2020-01-29,신포동집,6,135000,백범 김구 선생 기념사업 추진방안 협의를 위한 관계자와 만찬 간담,카드,,
2020-01-30,경복궁,15,447000,남북교류관계 활성화 논의 등을 위한 관계자와 간담,카드,,
2020-01-30,까망이네,22,388000,2020 더블어마을 희망지 사업 선정평가 관련 관계자와 간담,카드,,
,,,,,,,
2019-12-02,유키돈까스,3,31500,미세먼지 관련 대응방안 논의를 위한 관계자와 간담,카드,,
2019-12-03,하동관,4,60000,국무회의 참석에 따른 보고안건 작성 관계직원과 오찬 간담,카드,,
2019-12-03,스시웨이,4,80000,인천 MICE 피에스타 행사 개최 관련 관계부서 직원 격려를 위한 간담,카드,,
2019-12-04,인석훈 외 11명,12,600000,인천시 소속상근직원 경조사 비용 지급(인석훈 외 12명),카드,,
2019-12-04,신의주찹쌀순대,4,31000,소수직렬 인사고충 청취를 위한 관계직원과 간담,카드,,
2019-12-06,이포르테,174,3045000,11월분 직원 생일기념 케익상품권 공급 지출(174명),카드,,
2019-12-06,BBQ치킨,5,35500,시의회 예산결산특별위원회 예산안 심사관련  관계직원 격려를 위한 간식 구입,카드,,
2019-12-06,오형제삼겹살,9,241000,공직자 역량강화를 위한 교육과정 운영 협의를 위한 관계자와 간담,카드,,
2019-12-09,이가네식당,3,28000,주민참여예산 운영 관계 직원 격려,카드,,
2019-12-09,무한버섯나라,23,455000,지역상권 활성화 방안 논의를 위한 자영업자 관계자와 간담,카드,,
2019-12-09,화룽,12,350000,공촌권역 수돗물 피해보상 추진에 따른 관계직원 격려를 위한 간담,카드,,
2019-12-10,북창동,4,48000,2019 인천인 친선교류의 밤 행사 후 관계직원과 간담,카드,,
2019-12-12,아트랑,30,410400,2019년 신규공무원 직무적응 향상을 위한 멘토-멘티 간담회,카드,,
2019-12-12,우성꽃농원,,835000,2019년도 11월중 관내지역 경조사 시 설치한 근조기 및 축기 비용,카드,,
2019-12-13,경복궁,18,480000,5급이상 국내 장기교육 훈련 파견 복귀자 격려를 위한 오찬 간담,카드,,
2019-12-16,양희숙 외 5명,6,300000,인천시 소속 상근직원 경조사 비용 지급(양희숙 외 5명),현금,,
2019-12-16,피치버스,,218000,"2019년도 중앙기관 평가 성과 우수부서(회계담당관실, 가족다문화과) 격려 간식",카드,,
2019-12-17,아이갓에브리띵,16,28200,2019년도 하반기 직원 승진심사를 위한 대면심사 위원 격려 간식 구입,카드,,
2019-12-18,돈통마늘보쌈,22,452000,2019년도 시정업무 추진에 따른 노고 격려 등 3급이상 실국장과 간담,카드,,
2019-12-19,하동관,12,330000,국회 및 중앙부처 업무협력 추진부서 노고 격려를 위한 간담,카드,,
2019-12-19,경원재앰버서더,4,91800,인천경영자총협회 노사정 송년 행사 후 관계직원과 간담,카드,,
2019-12-23,최연수 외 3명,4,200000,인천시 소속 상근직원(최연수 외 3명) 경조사 비용,현금,,
2019-12-26,신선설농탕,3,45000,부평사랑회 한마음 송년회 행사 후 관계부서 격려를 위한 간담,카드,,
2019-12-27,이포르테㈜,160,2800000,12월분 직원 생일기념 케익상품권 공급 지출(160명),이체,,
2019-12-30,곡가,16,460000,2019 하반기 정부 모범공부원 표창대상자 격려를 위한 간담,카드,,
,,,,,,,
2019-12-02,인천집,6,190000,동아시아 문화관광축제 인천 폐막식 개최 관련 관계자와 간담,카드,,
2019-12-03,여의도장어,16,450000,2020년 국비 확보 관련 주요건의사항 협의를 위하 관계부처 관계자와 간담,카드,,
2019-12-03,동해도한한,12,280000,국비확보 등 지역현안 사항 해결방안 모색을 위한 지역 국회의원 보좌진과 간담,카드,,
2019-12-04,백세곰탕,4,36000,소방공무원 국가직전환 추진사항 청취를 위한 관계자와 간담,카드,,
2019-12-04,대한결핵협회 인천시지부,,1000000,2019년 크리스마스 씰 성금 증정에 따른 지출,카드,,
2019-12-04,우렁찬 명품한우,6,173010,효율적 홍보 콘텐츠 개발 협의를 위한 관계직원과 간담,카드,,
2019-12-09,복사꽃 피는 집,45,856800,"시, 군구 현안사항 및 공동발전을 위한 군수 구청장 협의회 개최에 따른 간담",카드,,
2019-12-10,램푸드,7,172000,관내 벤처기업 육성방안에 대한 의견청취 및 대책방안 논의를 위한 관계자와 간담,카드,,
2019-12-10,힘찬장어,6,160000,서구지역 현안청취를 위한 구의원과의 간담,카드,,
2019-12-10,연참치,10,200000,2019년 제6회 건축사징계위원회 개최에 따른 위원과의 간담,카드,,
2019-12-11,명동보리밥,11,490000,인천 시민디자인한마당 및 공공디자인 포럼 관련 관계자와 간담,카드,,
2019-12-11,젊은농부,20,260000,지구단위계획 변경에 관한 심의를 위한 도시건축공동위원회 개최에 따른 간담,카드,,
2019-12-11,대명반점,16,400000,제5회 인천 시민디자인 한마당 및 공공디자인 포럼 행사 관계자와 간담,카드,,
2019-12-12,백년식당,25,493800,저층주거지 개선을 위한 2019 더블어 마을 희망지 사업성과 공유회 관련 관계자와 간담,카드,,
2019-12-12,대도가,8,131000,업무정책포털시스템 개편 추진과 관련 개선사항 등에 대한 논의위한  관계자와 간담,카드,,
2019-12-13,메콩타이,10,200200,국립인천해양박물관 건립관련 세부계획 및 추진일정 논의위한 관계자와 간담,카드,,
2019-12-13,본도시락,11,198600,지하도상가 조례 개정관련 대응방안 마련을 위한 관계자와 간담,카드,,
2019-12-13,본죽,4,48500,바이오 원부자재 국산화 업무협약 체결 관련 관계자와 오찬 간담,카드,,
2019-12-16,현정이네,32,787000,시정 홍보 및 주요현안사항 협조를 위한 2019년 전국 언론사와 송년 간담,카드,,
2019-12-17,멍게가,10,200000,재정분야 우수사례 발표에 따른 관계자와 오찬 간담,카드,,
2019-12-17,우렁찬 명품한우,38,950000,시정 홍보를 위한 2019년도 지역언론사와 송년 간담,카드,,
2019-12-17,정가네손두부집,7,109000,시정 현안사항 협의를 위한 지역 국회의원 보좌진과 오찬 간담,카드,,
2019-12-17,경복궁,19,492000,업무정책포털시스템 개편 추진 관계자와 운영방안 및 개선방안 등에 대한 간담,카드,,
2019-12-18,대평리,8,104000,해양안전교육 시설 유치 논의를 위한 관계자와 간담,카드,,
2019-12-18,자이글그릴,25,729100,시청운동경기부 선수단 격려 및 각 운동 종목별 대회성과 달성을 위한 선수단과 간담,카드,,
2019-12-18,젊은농부해피타운,7,92000,시정 현안사항 해소방안  및 시책사업 추진을 위한 특보단과 간담,카드,,
2019-12-19,이기자네,5,135000,시정 현안사항 협의 및 국비 확보 등을 위한 국회 관계자와 간담,카드,,
2019-12-19,서해뻘산낙지,14,400000,수돗물 피해보상 완료에 따른 관련기관 관계자와 간담,카드,,
2019-12-20,소호66,15,399000,시정 현안사항 협의를 위한 국회 관계자와 간담,카드,,
2019-12-20,연중반점,10,162000,재난상황 전파 및 재난 공동대응 협조체계 강화를 위한 재난관계자와 간담,카드,,
2019-12-20,경성칼국수,5,50000,극지관련 현안사항 논의를 위한 관계자와 간담,카드,,
2019-12-20,곰치해장국,8,222000,계양지역 현안청취를 위한 지역 구의원과 간담,카드,,
2019-12-23,미션앤푸드,32,476800,2019년 하반기 신속집행 집행률 제고를 위한 관계부처 관계자와 오찬 간담,카드,,
2019-12-24,이화찹쌀순대,13,365000,인천애뜰 잔디광장 집회 제한 관련 의견수렴 등을 위한 관계자와 간담,카드,,
2019-12-24,창영떡집,,453600,지역현안사업 재정지원 등 중앙부처와 업무 협의를 위한 간식 구입,카드,,
2019-12-27,장금수부대찌개,4,50000,인천애뜰 관리 및 활용방안 등에 대한 관계자와 간담,카드,,
,,,,,,,
2018-11-05,,4,200000,소속 상근직원에 대한 경조사 비용(한재봉 외 3명),현금,,
2018-11-05,경복궁,6,98000,도시철도 등 교통국 현안사항 논의 및 오찬 간담,카드,,
2018-11-02,삿뽀로,7,104000,현안점검 회의 후 관계자 오찬 간담,카드,,
2018-11-02,장어랑민물장어,6,60000,제3회 인천역사 바로알기 도전골든벨 부서 관계자 만찬 간담,카드,,
2018-11-06,명가원설농탕,21,300000,광역버스 및 준공영제 담당과 업무공유 및 소통을 위한 간담,카드,,
2018-11-08,,,-50000,소속 상근직원에 대한 경조사 비용 반납,,,
2018-11-09,영월감자옹심이,12,286000,구내식당 운영방안 논의 및 근무자 노고 격려,카드,,
2018-11-12,연참치,21,247000,아트센터 개관 관련 부서별 협조사항 등 협의후 관계자 오찬 간담,카드,,
2018-11-12,보통날의파스타,8,96100,실국별 추진행사 관련 회의후 관계자와 오찬 간담,카드,,
2018-11-12,페이투스㈜,138,2939200,10월분 직원 생일기념 케익공급(모바일상품권) 기성금 지출,계좌,,
2018-11-12,,5,250000,소속 상근직원에 대한 경조사 비용(박선희 외 4명),현금,,
2018-11-15,신차이,37,570000,건축행정 건실화 공감 워크숍,카드,,
2018-11-15,송추가마골,23,245000,제안적극 참여 직원과 격려하고 대화의 시간을 위한 간담,카드,,
2018-11-16,해월토장집,20,288000,도서관 운영 활성화 방안 및 근무자 애로사항 청취를 위한 간담,카드,,
2018-11-19,,4,200000,소속 상근직원에 대한 경조사 비용(김은숙 외 3명),현금,,
2018-11-19,해남수산,23,360000,청원경찰과 시장과의 소통을 위한 대화 및 노고 격려를 위한 간담,카드,,
2018-11-19,우성꽃농원,,1785000,10월중 지역인사(지인 등) 경조사 근조기 축기 설치비,카드,,
2018-11-20,홈플러스,,261280,시장실 운영에 필요한 물품 및 내빈 방문을 위한 물품 구입,카드,,
2018-11-20,참치킹,14,225000,시의회 시정질문 관련 답변자료 작성 관계자 회의후 만찬 간담,카드,,
2018-11-21,피자나라치킨공주,22,93600,2019 예산편성에 따른 예산담당관실 직원 격려,카드,,
2018-11-23,진흥통상비엔에이치,,2950000,"지역특산품 홍보, 타 기관 방문, 시책사업 협력증진을 위한 기념품 구입",카드,,
2018-11-23,황소마을,24,353000,2018 비상대비 공감워크숍에 따른 간담 비용,카드,,
2018-11-26,,4,200000,소속 상근직원에 대한 경조사 비용(강영석 외 3명),현금,,
2018-11-26,어머니밥상,150,1800000,4급이상 간부공무원 정책워크숍에 따른 오찬 비용,카드,,
2018-11-27,이태리소년,4,49700,임대청사 근무환경 개선을 위한 관계자와 간담,카드,,
2018-11-28,채선당플러스,84,1243200,감사역량 강화를 위한 공감워크숍 오찬 간담,카드,,
2018-11-29,,2,100000,"소속 상근직원에 대한 경조사 비용(양경석, 장정민)",현금,,
2018-11-30,대명호텔리조트,40,600000,도시계획 직무공감 워크숍 간담회,카드,,
,,,,,,,
2018-11-01,청운한정식,24,603000,현안사항과 새해 예산안에 대한 소통 및 협조를 위한 시의회 의장단과 간담,카드,,
2018-11-01,시옌,16,290000,남북어울림 한마당 축제 등 성공적 개최 논의를 위한 관계기관과 간담,카드,,
2018-11-05,스타벅스,14,70000,제251회 정례회 1차 본회의 후 의회 관계자와 간담,카드,,
2018-11-07,평양옥,3,33000,인천 신한은행 에스버드 홈 개막전 참관 후 관계자 만찬 간담,카드,,
2018-11-08,남도의맛고을,13,158000,인재개발원 인재양성교육 관련 관계자 만찬 간담,카드,,
2018-11-09,신촌우 서서갈비,5,115600,원활한 시민정책 업무추진을 위한 언론기관 관계자와 간담,카드,,
2018-11-12,인천집,11,117000,사회복지사협회 및 사회복지법인 관계자 만찬 간담,카드,,
2018-11-12,한우애빠진그날,14,154400,인천시 기업지원 정책개발 관련 관계자 간담,카드,,
2018-11-15,삼화정,6,60000,2019학년도 대학수능시험 수험생 응원 후 관계자 조찬 간담,카드,,
2018-11-15,천서리횟집,56,700000,지원 민방위대의 사기진작과 발전방안 수렴을 위한 간담회,카드,,
2018-11-16,바다양푼이동태탕,8,56000,OECD세계포럼 행사 주제발표 관계자 회의 후 오찬 간담,카드,,
2018-11-16,한우본,7,105000,행정혁신 우수사례 벤치마킹 등 충남도청 관계자 간담회,카드,,
2018-11-20,취홍,5,123000,합리적인 인천시 체육시설관리 및 향후 활용방안에 대한 관계자와 간담,카드,,
2018-11-21,수라,11,159000,사회복지사 처우개선 등을 위한 관계자 회의 및 만찬 간담,카드,,
2018-11-23,옥가마 추어탕,5,53500,뉴라이프재단 등 사회적기업 현장 방문 및 관계자 면담후 오찬 간담,카드,,
2018-11-23,가마솥손두부,3,30000,항공정비단지 조성 관련 관계자 면담 및 만찬 간담,카드,,
2018-11-23,송추가마골,111,1146000,시정운영방향 공유를 위한 인천향우회 인천방문 행사,카드,,
2018-11-26,미소로,8,91000,서구지역 현안사항에 대한 공동 합의사항 작성 관계자 오찬 간담,카드,,
2018-11-26,부산오륙도,8,140000,여론 청취를 위한 유관기관 관계자와 간담,카드,,
2018-11-26,와동화로구이,7,92000,제6차 OECD 세계포럼 관계자와 일정 협의 및 만찬 간담,카드,,
2018-11-26,우도광,8,75000,인천자원봉사 포럼 개최 관련 관계자 간담,카드,,
2018-11-27,장흥삼합,15,304000,2018년 우수기업 및 중소기업인 시상 관련 관계자와의 만찬,카드,,
2018-11-28,바다양푼이동태탕,8,59000,생활체육 활성화를 위한 생활체육 지도자와 면담,카드,,
2018-11-28,젊은농부해피타운,15,203000,장애인콜택시 특장차량 운영 관련 관계자 간담,카드,,
2018-11-29,북경짜장,4,34500,데이터기반행정 추진 관계자 면담 및 오찬 간담,카드,,
2018-11-29,삼화정,3,30000,제3회 인천시 어린이 합창대회 관계자 간담,카드,,
2018-11-30,장어랑민물장어,12,159000,시민 생활체육 활성화를 위한 생활체육 관계자와 간담,카드,,
,,,,,,,
2019-10-01,본도시락,15,180200,인천업무정책포털 구축사업 중간보고회 후 관계직원 격려를 위한 간담,카드,,
2019-10-01,수연생오리구이,10,170500,원도심 디자인 명소화사업 실행계획 보고회 진행 직원을 격려하기 위한 간담,카드,,
2019-10-02,유라가,,602000,제9기 5급 승진리더과정 교육생 격려를 위한 위문 물품 구입,카드,,
2019-10-04,본도시락,9,111400,국정감사 대비 주요사업에 대한 쟁점사항 보고 등 관계직원과 간담,카드,,
2019-10-08,젊은농부해피타운,10,211000,국정감사 대비 쟁점사항 보고자료 작성 관계자를 격려하기 위한 간담,카드,,
2019-10-09,명품손짜장,15,310000,한글날 행사 준비 및 행사 진행으로 노고가 많은 관계직원 격려를 위한 간담,카드,,
2019-10-09,새마을부대찌개,6,64000,훈민정음 반포 573돌 한글날 경축행사 개최관련 관계직원 격려,카드,,
2019-10-11,피자헛,,139850,인천해양국제미술축전 등 문화행사 개최로 노고가 많은 문화예술과 직원 격려,카드,,
2019-10-11,피자알보로구월점,,276000,수돗물피해보상 신청서류 검증작업을 추진중인 관계직원 격려위한 간식 구입,카드,,
2019-10-13,선영소,5,164000,국정감사 관련 각종 자료 작성 등 중앙협력본부 직원 격려,카드,,
2019-10-13,스타벅스,8,31800,국정감사 관련 국회의원 사무실과 업무협조에 따른 중앙협력본부 직원 격려,카드,,
2019-10-14,최민식 외 7명,8,400000,인천시 소속상근직원 경조사 비용 지급(최민식 외 7명),현금,,
2019-10-17,홈플러스,,97270,공무직 노조지부 창립 17주년 기념행사 관련 격려를 위한 음료 구입,카드,,
2019-10-17,㈜이포르테,136,2380000,8월분 직원 생일기념 케익상품권(모바일상품권) 공급 기성금 지출,카드,,
2019-10-18,공상 경찰관,1,300000,2019. 경찰의 날 맞이 공상중인 모범경찰관(박종훈) 격려를 위한 격려금,카드,,
2019-10-18,인천시청(구내식당),33,495000,2019년도 국회 행정안전위원회 국정감사 수행직원 및 관계직원과 오찬 간담,카드,,
2019-10-18,인천시청(구내식당),8,160000,2019년도 국회 행정안전위원회 국정감사 관련 국정감사 위원과 오찬 간담,카드,,
2019-10-18,우성꽃농원,,660000,2019년도 9월분 관내 경조사 시 근조기 및 축기 설치 비용,카드,,
2019-10-21,롯데마트,,307300,시장실 방문객 및 민원인을 위한 차류 등 구입,카드,,
2019-10-23,제일숯불왕갈비,16,337000,인천광역시공무원노동조합 건의사항 청취 및 시정 협조 등을 위한 관계자와 간담,카드,,
2019-10-23,육욕주의,,200000,2019년도 3/4분기 협업포인트 우수부서 간식 제공,카드,,
2019-10-23,강화군 장애인직업재활시설,,500000,강화군 우리마을 화재현장  장애인 직업재활시설 격려금,카드,,
2019-10-23,부라더목장,12,206000,재난대응 안전한국훈련 준비 등으로 노고가 많은 관계직원 격려,카드,,
2019-10-23,백합칼국수 외 1개소,15,513000,구내식당 운영 활성화 추진 등 현업근무자 격려를 위한 워크?추진 간담,카드,,
2019-10-24,쭈꾸미일당백,12,157500,2019년도 건축문화제 추진으로 노고가 많은 관계부서 격려,카드,,
2019-10-24,명가,5,50000,새얼문화재단 주관행사인 가곡과 아리아의 밤 관게자와 간담,카드,,
2019-10-25,백령도횟집,16,470000,청사시설 관리를 위해 노고가 많은 청사관리 관계자 및 청사 환경미화원 격려,카드,,
2019-10-25,왕자정,16,160000,구내식당 운영 활성화 추진 등 현업근무자의 노고를 격려하기 위한 간담,카드,,
2019-10-26,스마일마트,,90000,직장두루미어린이집 한가족 체육대회 개최에 따른 직원 격려 물품 구입,카드,,
2019-10-28,해병연평부대 외 7개소,8,4200000,"현장소통 강화를 위한 자월도, 연평도 방문에 따른 격려금",카드,,
2019-10-28,이포르테,162,2835000,9월분 직원 생일기념 케익상품권 공급 지출(162명),카드,,
2019-10-29,연평 안보수련원 외 1개소,2,400000,"현장소통 강화를 위한 자월도, 연평도 방문 일정이 기상악화로 연장되어 이에 따른 격려금",카드,,
2019-10-29,마포소금구이,6,124000,2020년도 당초예산 편성과 관련 주요예산 편성사업 및 의회 심사일정 논의 등 관계부서와 간담,카드,,
2019-10-30,,2,-100000,"소속 상근직원에 대한 경조사 비용 착오 지급분에 대한 반납(조은경, 신연희)",현금,,
2019-10-30,본도시락,15,141100,2019 재난대응 지진대피훈련 준비 등으로 노고가 많은 관계직원 격려,카드,,
2019-10-31,시옌,30,1167000,직원과의 시정운영 방향 등에 대한 소통을 위한 7급이하 서무담당과 간담,카드,,
2019-10-31,진흥통상비엔에이,,1600000,시책사업 협력증진을 위한 내방객 및 업무협조 관계자 등에게 제공할 기념품 구입,카드,,
,,,,,,,
2019-10-01,경복궁,6,132000,비상계획 보고회 관련 군 관계자 등과 간담,카드,,
2019-10-01,신촌우서서갈비,8,228800,공론화위원회 개최에 따른 위원 등 관계자와 위원회 운영 일정 등에 대한 설명을 위한 간담,카드,,
2019-10-01,봄봄,5,75000,국립해양박물관 건립 관련 세부계획 및 향후 일정 논의를 위한 관계자와 간담,카드,,
2019-10-08,토끼정,20,300000,장기미집행공원 조성사업 관련 관계자와 간담,카드,,
2019-10-11,한경희전라도밥상,6,60000,전국장애인체육대회 출전과 관련 준비 관계자에 대한 격려 및 승리기원 등을 위한 관계자와 간담,카드,,
2019-10-14,옛정,6,150000,인천형 복지시스템 구축 협의를 위한 시의회 관계자와 간담,카드,,
2019-10-15,초록에가든,15,400000,2020년도 국비 및 아프리카돼지열병과 관련 교부세 확보를 위한 관계자와 간담,카드,,
2019-10-16,참배나무골여의도,10,255000,2020년 국비지원을 위한 국회 예결위 소속 지역 국회의원 보좌진과 간담,카드,,
2019-10-17,전복촌,7,111200,시정홍보 활성화 및 업무협조 등을 위한 출입기자단과 오찬 간담,카드,,
2019-10-18,홍루이젠,100,196000,경찰의 날을 맞이하여 치안수요가 많은 격무 지구대 방문에 따른 간식 제공,카드,,
2019-10-23,선학정,18,300000,원도심 내 방치된 빈집 활용을 위한 국민참여 빈집활용 프로젝트 추진 관계자와 간담,카드,,
2019-10-23,본도시락,30,577500,시정 홍보를 위한 지역기자단과 오찬 간담,카드,,
2019-10-23,홈플러스,,160470,소래습지생태공원 주변 활성화 전략 추진과 관련 비교견학에 따른 간식 구입,카드,,
2019-10-25,생선구이구이,5,40000,노인일자리사업 확대방안 논의를 위한 관계자와 간담,카드,,
2019-10-25,정가붕어찜,12,175000,2019년 제4차 제안디자인 자문단 자문회의 개최에 따른 간담,카드,,
2019-10-25,평양옥,4,33000,2019-2020 신한은행 에스버드 농구단 홈개막전 관계자와 간담,카드,,
2019-10-27,인천옹진농업협동조합,20,280000,자월 농어민 한마당 잔치 등 삶의 현장방문을 통한 지역현안사항 청취를 위한 간담,카드,,
2019-10-28,전원정,71,1426000,지역현안 청취 및 도서지역 주민과의 현장소통을 위한 연평주민과의 간담,카드,,
2019-10-28,찬누리닭강정,,394250,지역현안 청취 및 도서지역 주민과의 현장소통을 위한 연평도 방문에 따른 관계자에게 간식 제공,카드,,
2019-10-29,원조석산민물고기,8,196000,청년일자리 창출방안 협의를 위한 일자리위원회 관계자와 간담,카드,,
2019-10-30,송추가마골,10,165000,2019년 행정안전부 공공서비스 혁신 우수사례 경진대회에 참석 후 관계자와 간담,카드,,
2019-10-30,백정,19,304000,공공서비스 혁신 우수사례 경진대회 참가 관계자 간담,카드,,
2019-10-30,서당골토종순대,10,76000,지역 여론청취 및 시정 현안사업 설명 등을 위한 언론인과의 간담,카드,,
2019-10-30,참예그리나,23,470000,지하도상가 조례개정을 위한 관계자 등과 논의위한 간담,카드,,
2019-10-31,와동화로구이,24,473000,2020년 본예산 편성관련 업무협의 및 협조사항을 위한 시군구 예산 관계자와 간담,카드,,
,,,,,,,
20109-09-02,이종우 외 1명,2,100000,소속 상근직원에 대한 경조사 비용 지급(이종우 외 1명),현금,,
20109-09-03,서미유통,11,4400000,화재진압 및 응급 119출동 등으로 노고가 많은 소방서 직원을 격려하기 위한 격려물품 구입,카드,,
20109-09-04,우렁찬 정육점,13,480000,재개발 및 재건축 반대민원에 따른 집회 및 시위 등으로 노고가 많은  청사방호 근무자 격려,카드,,
20109-09-04,문어시대,5,187000,태풍 및 집중호우 대비 미추홀구 취약 현장점검 후 관계자와 간담,카드,,
20109-09-04,연탄구이,9,104000,태풍 및 집중호우 대비 남동구 취약현장 점검 후 관계자와 간담,카드,,
20109-09-04,해당화횟집,22,650000,지방자치인재개발원 고위정책과정 교육생의 백령도방문에 따른 간담,카드,,
20109-09-05,신한은행 시청지점,39,3900000,병가 및 질병휴직자 격려를 위한 물품 구입 비용,카드,,
20109-09-05,보가양평해장국,4,38000,서구 수돗물 대책위 운영관련 대책위 준비 등으로 노고가 많은 관계직원 격려,카드,,
2019-09-05,소래포구해남수산,16,426000,서구 수돗물 피해발생에 따른 대책수립을 위한 민간대책위 위원과 혁신안 서명식 후 간담,카드,,
20109-09-06,해월토장집,48,1920000,"추석맞이 현업근무자 및 격무부서 근무자 격려를 위한 격려물품(간장,된장세트) 구입",카드,,
20109-09-06,프라임,160,6400000,추석맞이 현업근무자 및 격무부서 근무자 격려를 위한 격려물품(양념갈비) 구입,카드,,
20109-09-06,진흥통상비엔에이,,2850000,시책사업 협력증진을 위한 내방객 및 업무협조 관계자 등에게 제공할 기념품 구입,카드,,
